Price,Close,High,Low,Open,Volume
Ticker,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST
Date,,,,,
2016-08-19,155.0482940673828,158.29268616525994,154.0237354808915,158.29268616525994,2812025
2016-08-22,156.6704864501953,157.268136926461,154.79215079858741,155.04829043921652,2183335
2016-08-23,157.52430725097656,158.6342372247018,156.92665665829554,157.86581815313548,1481501
2016-08-24,155.6459197998047,157.35349980193573,154.96288519339197,156.670465195523,1821420
2016-08-25,154.70677185058594,156.15821249323406,154.36526100330533,155.21905114931056,1148781
2016-08-26,155.6459197998047,156.24357019499024,154.0237109810993,154.62137440408637,1180973
2016-08-29,153.511474609375,154.70677563187596,151.9746497034423,154.02374089281653,1909782
2016-08-30,148.9010009765625,152.82844098391897,148.81562977593555,152.82844098391897,4892491
2016-08-31,148.04721069335938,149.41328018041625,148.04721069335938,148.47410577958914,2795796
2016-09-01,147.7910919189453,149.75479899772972,147.53495224803282,148.30335823296542,2424511
2016-09-02,148.9010009765625,148.9010009765625,145.40046908355748,146.59577011476813,2524779
2016-09-05,150.01092529296875,150.35244916633516,148.73024008040306,149.1571351512583,1672775
2016-09-06,151.46237182617188,152.31616200112842,149.92555993349342,150.26707079235436,2088176
2016-09-07,150.01092529296875,152.14540064724494,149.7547856448949,152.14540064724494,2155120
2016-09-08,148.13259887695312,150.3524585957411,147.70570377932503,150.3524585957411,1572034
2016-09-09,145.82737731933594,147.44957358336703,145.40048219429562,147.19343390278178,3592645
2016-09-12,147.10804748535156,147.53494256625635,143.00985210310478,144.8028166540265,3136039
2016-09-13,147.0226593017578,148.730239579427,146.7665196545467,147.27879894896893,1737388
2016-09-14,147.62030029296875,148.73023000758263,147.36417369004485,147.9618241432053,1182850
2016-09-15,147.0226593017578,147.27879894896893,145.65660289630463,146.7665196545467,2259990
2016-09-16,146.68113708496094,147.6202983481824,145.91271820290416,146.16885783025643,1911189
2016-09-19,148.38873291015625,149.07176764600288,147.10804766587032,147.44955851989164,2653372
2016-09-20,148.38873291015625,149.66941815444216,148.13259325573827,148.5594883371669,1139916
2016-09-21,148.13259887695312,149.92556349811298,147.87645921281538,149.66942383397523,1344919
2016-09-22,151.29161071777344,151.54775036620663,148.81562451446112,149.49865923434842,1071951
2016-09-23,150.3524627685547,151.2062529875066,149.92556765907872,150.6939736450135,1656410
2016-09-26,148.04721069335938,149.24252475148518,147.36418897763508,149.24252475148518,2389236
2016-09-27,147.70571899414062,149.41329956054688,146.5957890204154,148.9864044189453,1599010
2016-09-28,149.0717315673828,150.18164808823002,148.47406817578715,148.47406817578715,1264232
2016-09-29,148.64486694335938,151.120853110891,148.3033430744493,149.9255521392144,1203636
2016-09-30,148.81561279296875,148.90098398385305,146.5957533851336,147.27878805122154,2164106
2016-10-03,147.9618377685547,149.41327843926098,147.44955845992703,148.81562793106474,1087369
2016-10-04,150.43783569335938,150.69397536753374,148.55949979575564,148.81563946993,1934507
2016-10-05,147.1934051513672,148.38871908468158,147.1934051513672,148.04719523467628,2148393
2016-10-06,147.44952392578125,149.41324344519253,147.19338433145788,148.1325585013766,2613335
2016-10-07,147.0226593017578,147.6203097933813,145.5712186712997,147.6203097933813,1834396
2016-10-10,148.64486694335938,149.32788862557257,146.93728668221937,147.02265787859426,1754925
2016-10-11,147.44952392578125,149.24248805824394,147.27876853883265,148.21794270875137,1981059
2016-10-12,148.5594940185547,149.49866844473632,147.44956415883217,147.87645925658663,2140402
2016-10-13,148.81561279296875,150.77933257254557,147.96182271730947,148.2179623455678,1960787
2016-10-14,152.82843017578125,153.6822202884951,150.09630442065753,150.18167561524697,2277361
2016-10-17,150.7793426513672,152.48692291682863,150.18167913621284,151.88925940167428,1818800
2016-10-18,154.45062255859375,154.79214641235615,152.48691576762246,152.48691576762246,2300384
2016-10-19,153.08453369140625,154.96286889058052,152.743009910229,154.96286889058052,1909847
2016-10-20,152.40155029296875,154.53602578726802,151.63314432614283,153.7676198204421,1985469
2016-10-21,142.58294677734375,150.608568510576,139.3385417900232,150.608568510576,7578403
2016-10-24,141.64376831054688,144.71741779338586,140.87536245373846,144.46127816518216,4245178
2016-10-25,141.04612731933594,144.37591665361552,140.70461647737045,142.24144132182226,3229281
2016-10-26,142.66830444335938,143.00981520885728,140.44844538422103,141.81451450181396,3120893
2016-10-27,143.09521484375,143.6928652617149,141.38763477653487,142.75369101362577,2135189
2016-10-28,142.66830444335938,143.5220943849048,141.64374609126438,142.66830444335938,2395771
2016-10-31,140.27769470214844,142.24141423906684,140.0215551055415,141.72913504585298,2716547
2016-11-01,140.53387451171875,141.6437913682767,140.1069794044873,141.13152505628184,2471683
2016-11-02,140.44847106933594,140.61922648331253,139.85082060651638,140.19233143446957,4339760
2016-11-03,140.53387451171875,141.04614082371364,140.02159517191907,140.19235060925072,1705576
2016-11-04,138.91165161132812,140.5338606757797,138.91165161132812,140.5338606757797,1095473
2016-11-07,141.98532104492188,142.07069225315712,139.9362166301962,140.79000687938057,1946317
2016-11-08,142.75369262695312,142.92444803004403,141.8145313960521,142.24142641768043,1874562
2016-11-09,146.5957489013672,146.5957489013672,137.97247721764103,138.48474343068685,4245909
2016-11-10,148.98638916015625,150.18169022309874,146.85191367075572,147.36419299933365,3637870
2016-11-11,145.31507873535156,150.43781955818042,145.0589390886494,149.84016906774445,2952124
2016-11-14,141.98532104492188,146.85192285971172,141.7291813646055,145.99813261052736,3114487
2016-11-15,142.49757385253906,143.35136402068562,141.38765705619178,141.98530756833358,2627490
2016-11-16,143.8636016845703,145.48579732330586,142.66830100632308,143.00981176359363,2868012
2016-11-17,146.16888427734375,146.42502395104069,143.18061848242456,143.18061848242456,2513427
2016-11-18,145.91273498535156,147.36418869802205,145.5712241281374,147.02266481300376,2437639
2016-11-21,147.0226593017578,147.27879894896893,145.22970782688733,146.93728810455653,1520566
2016-11-22,145.0589141845703,148.13256336169727,144.9735430021954,147.44952876369112,1952951
2016-11-23,144.03439331054688,145.40046273901135,144.03439331054688,144.80281224948448,1535441
2016-11-24,142.32681274414062,143.6074979452477,141.38765141334423,142.4975681653942,2152599
2016-11-25,144.20516967773438,144.9735887282837,141.30228800536273,142.32683371162298,2004000
2016-11-28,143.09521484375,144.4612710808409,142.58293561246467,144.1197602785187,1838725
2016-11-29,145.14434814453125,146.51041780877858,143.1806278876029,145.14434814453125,3092498
2016-11-30,148.9010009765625,149.49866451997198,144.97357399701022,145.2297136544994,4104656
2016-12-01,146.7665252685547,148.81562949682078,145.9127350970615,148.04721052579444,2295843
2016-12-02,142.92446899414062,146.0835030397977,142.49757390989552,146.0835030397977,3138488
2016-12-05,141.81455993652344,144.03440667905818,141.13152515889553,141.3022805963513,2388695
